				NO			,				FN			,				LN			,				DIVISION			,				OVERALL			,				DIVPL			,				SEXPL			,				10K			,				HALF MARATHON			,				20 MILE			,				TIME			,				PACE			
8222,Chelsey,Drake,F35-39,1017,62/69,387/430,1:13:17,2:36:46,4:10:13,5:32:35,12:42
8419,Zi Yang,Jiang,M30-34,1018,95/98,631/678,1:06:22,-,3:56:28,5:33:29,12:44
8357,Mike,Harvey,M40-44,1019,74/76,632/678,1:09:17,-,-,5:33:48,12:45
8945,Samantha,Walsh,F18-24,1020,77/88,388/430,1:07:17,2:28:44,4:04:37,5:34:21,12:46
8003,Caroline,Beckmann,F35-39,1021,63/69,389/430,1:08:55,2:38:55,4:11:15,5:34:42,12:47
8262,Cheri,Farha,F55-59,1022,13/14,390/430,1:18:09,2:44:59,4:13:57,5:35:43,12:49
9050,Lesley,Shaw,F45-49,1023,34/35,391/430,1:07:35,2:33:52,4:09:27,5:35:50,12:50
9023,Aleksander,Cianciara,M25-29,1024,98/109,633/678,58:34:00,2:26:10,4:07:56,5:35:56,12:50
8679,Connor,Otoole,M18-24,1025,95/100,634/678,1:04:49,2:17:22,3:48:53,5:36:16,12:51
8442,Brian,Kaye,M40-44,1026,75/76,635/678,1:05:14,2:25:39,4:00:58,5:36:18,12:51
8628,Paige,Mulroe,F18-24,1027,78/88,392/430,1:09:18,2:28:33,4:05:07,5:40:00,12:59
8786,Sarah,Sandkuhler,F35-39,1028,64/69,393/430,1:03:01,2:22:00,4:04:14,5:40:29,13:00
8074,Michaela,Bemis,F18-24,1029,79/88,394/430,1:03:10,2:31:50,4:10:04,5:40:30,13:00
8471,Barb,Knight,F50-54,1030,23/26,395/430,1:13:06,2:41:40,4:16:10,5:41:44,13:03
8434,Vijaya,Kalluri,F50-54,1031,24/26,396/430,1:18:47,2:45:08,4:16:58,5:43:12,13:06
8610,Mitchell,Milligan,M50-54,1032,43/46,636/678,1:00:17,-,3:49:13,5:43:14,13:06
12,Laura,Bubla,F35-39,1033,65/69,397/430,1:09:08,2:34:00,4:10:53,5:45:04,13:11
8157,Vicki,Cherry,F25-29,1034,75/79,398/430,1:12:07,2:41:46,4:16:35,5:46:11,13:13
8690,John,Paolocci,M25-29,1035,99/109,637/678,1:19:41,2:51:49,4:22:48,5:46:22,13:14
8648,Dave,Newton,M45-49,1036,53/58,638/678,1:12:17,2:38:46,4:16:17,5:46:25,13:14
8680,Patrick,Otoole,M60-64,1037,21/25,639/678,1:06:44,-,4:07:57,5:46:51,13:15
8587,Jessica,McKnight,F30-34,1038,51/54,399/430,1:14:28,2:39:14,4:16:42,5:47:05,13:15
9016,Michael,Tierney,M60-64,1039,22/25,640/678,1:11:32,2:38:24,4:18:37,5:47:13,13:16
8691,Siri,Pardo,F45-49,1040,35/35,400/430,1:22:52,2:51:16,4:27:57,5:48:44,13:19
9149,Devon,Solomon,M35-39,1041,104/107,641/678,1:17:55,2:48:28,4:25:06,5:49:15,13:20
8857,Steven,Spelbring,M55-59,1042,32/33,642/678,1:14:49,2:43:36,4:23:02,5:49:28,13:21
9079,Janet,Bergner,F55-59,1043,14/14,401/430,1:14:51,-,-,5:49:29,13:21
8834,Neelam,Shrestha,F65-69,1044,3/3,402/430,1:11:43,2:43:21,4:21:37,5:50:22,13:23
8456,Do Soon,Kim,M25-29,1045,100/109,643/678,1:09:26,2:46:51,4:27:06,5:51:10,13:25
8388,Brennan,Hodgson,F25-29,1046,76/79,403/430,1:09:26,2:46:50,4:27:09,5:51:10,13:25
8778,Jack,Rutter,M25-29,1047,101/109,644/678,1:01:44,2:23:19,4:17:09,5:53:10,13:29
8530,Marjorie,Lewis,F40-44,1048,42/45,404/430,1:06:17,2:23:12,4:04:07,5:53:12,13:29
8512,Katherine,Larue,F30-34,1049,52/54,405/430,1:05:49,2:25:43,4:08:20,5:53:15,13:29
79,Cody,Walters,M18-24,1050,96/100,645/678,1:10:19,-,4:16:34,5:53:43,13:31
33,Lem,Guiao,M45-49,1051,54/58,646/678,1:18:47,2:45:47,4:22:38,5:54:38,13:33
9097,Michael,Demcak,M18-24,1052,97/100,647/678,1:03:23,2:16:41,4:16:28,5:56:59,13:38
8609,Seth,Miller,M35-39,1053,105/107,648/678,1:06:50,-,4:17:50,5:57:32,13:39
8618,Cheri,Monette,F50-54,1054,25/26,406/430,1:09:50,-,4:21:56,5:57:58,13:40
8947,Dw,Wanberg,M60-64,1055,23/25,649/678,1:13:00,2:40:38,4:26:52,5:59:19,13:43
8909,Phillip,Trobaugh,M50-54,1056,44/46,650/678,1:09:41,2:45:45,4:35:17,6:00:58,13:47
8642,Riley,Nelson,F18-24,1057,80/88,407/430,1:20:48,-,4:31:07,6:01:03,13:47
8893,Michael,Swanson,M55-59,1058,33/33,651/678,1:16:23,2:52:51,-,6:01:30,13:48
8242,Hannah,Eide,F01-19,1059,15/15,408/430,1:07:41,2:40:50,4:24:16,6:01:39,13:49
8158,Eric,Chow,M25-29,1060,102/109,652/678,1:13:00,2:39:10,4:29:25,6:01:43,13:49
8668,Albert,Oh,M25-29,1061,103/109,653/678,1:13:00,2:39:11,4:29:26,6:01:43,13:49
8687,Michael,Pan,M25-29,1062,104/109,654/678,1:13:01,2:39:10,4:29:25,6:01:44,13:49
8889,Joseph,Sung,M25-29,1063,105/109,655/678,1:13:01,2:39:10,4:29:26,6:01:44,13:49
24,Wayne,Engelbrecht,M45-49,1064,55/58,656/678,1:16:57,2:49:45,4:34:56,6:02:03,13:50
8517,Jessi,Leacock,F18-24,1065,81/88,409/430,1:11:48,2:48:07,4:34:45,6:02:42,13:51
9168,Marci,Williams,F40-44,1066,43/45,410/430,1:19:12,2:49:30,4:26:16,6:03:23,13:53
8620,Danielle,Moore,F18-24,1067,82/88,411/430,1:11:07,-,-,6:03:46,13:54
8569,Chris,Martinez,M30-34,1068,96/98,657/678,1:13:51,-,4:22:39,6:04:05,13:54
68,MacKenzie,Savoy,F35-39,1069,66/69,412/430,1:14:19,2:49:16,4:30:52,6:04:12,13:55
8358,Roger,Hauge,M70-99,1070,1/1,658/678,1:16:35,2:53:02,-,6:14:35,14:18
8267,Kristin,Feltz,F35-39,1071,67/69,413/430,1:15:26,2:56:56,4:41:06,6:21:52,14:35
8995,Duane,Wright,M65-69,1072,4/4,659/678,1:23:24,3:01:57,4:43:13,6:25:31,14:43
